input_address,query,lat,lon,display_name,osm_type,osm_id,class,type,importance
5 WARWICK AVENUE,"5 WARWICK AVENUE, Australia",-37.9512870,145.1542332,"Tri Ky Billiards Coffee, 5, Warwick Avenue, Springvale, Melbourne, City of Greater Dandenong, Victoria, 3171, Australia",way,536388727,leisure,sports_centre,8.045242999919154e-05
192 PRINCES DR,"192 PRINCES DR, Australia",-38.2330101,146.4440733,"192-208, Princes Drive, Morwell, City of Latrobe, Victoria, 3840, Australia",node,12415696834,place,house,4.8924238956237394e-05
440 STUART HWY,"440 STUART HWY, Australia",-12.4255294,130.8794898,"Apollo Motorhomes Darwin, 440, Stuart Highway, Winnellie, Darwin, City of Darwin, Northern Territory, 0821, Australia",node,3492396293,amenity,car_rental,6.79888609139699e-05
195 JUBILEE HWY,"195 JUBILEE HWY, Australia",-37.8241748,140.7850416,"Princes Highway, Mount Gambier, City of Mount Gambier, South Australia, 5290, Australia",way,223355498,highway,trunk,0.053388335240711036
169 KINGHORNE STREET,"169 KINGHORNE STREET, Australia",-34.0130006,150.7806548,"Kinghorne Street, Gledswood Hills, Sydney, Camden Council, New South Wales, 2557, Australia",way,494929624,highway,residential,0.05341579385061414
1/2 PINE STREET,"1/2 PINE STREET, Australia",-33.9049445,151.2532813,"Pine Street, Charing Cross, Randwick, Eastern Suburbs, Sydney, Randwick City Council, New South Wales, 2024, Australia",way,23730966,highway,residential,0.05341579385061414
2/34 ESSINGTON ST,"2/34 ESSINGTON ST, Australia",-33.8156361,150.9770810,"Essington Street, Wentworthville, Sydney, Cumberland City Council, New South Wales, 2145, Australia",way,174594630,highway,residential,0.05341579385061414
100 FINLAY ROAD,"100 FINLAY ROAD, Australia",-33.7331233,151.1201048,"Finlay Road, Warrawee, Upper North Shore, Sydney, Ku-ring-gai Council, New South Wales, 2074, Australia",way,1424949379,highway,residential,0.05341579385061414
8 GAUGE CIRCUIT,"8 GAUGE CIRCUIT, Australia",-32.0693503,115.9186288,"Gauge Circuit, Canning Vale, City of Canning, Western Australia, 6155, Australia",way,17382157,highway,unclassified,0.053408187228198636
260 SHELLHARBOUR ROAD,"260 SHELLHARBOUR ROAD, Australia",-34.4938635,150.8925000,"Shellharbour Road, Port Kembla, Wollongong City Council, New South Wales, 2505, Australia",way,786357879,highway,secondary,0.053393913939116466
1439 SOUTH GIPPSLAND HWY,"1439 SOUTH GIPPSLAND HWY, Australia",-38.1152988,145.2853804,"1439, South Gippsland Highway, Cranbourne, Melbourne, City of Casey, Victoria, 3977, Australia",node,12420103577,place,house,8.045242999919154e-05
83 TINGAL ROAD,"83 TINGAL ROAD, Australia",-27.4469294,153.1729789,"83, Tingal Road, Wynnum, City of Brisbane, Queensland, 4178, Australia",node,6250858041,place,house,7.694132906076169e-05
1 GRANT STREET,"1 GRANT STREET, Australia",-33.7387159,150.4824856,"1, Grant Street, Woodford, Sydney, Blue Mountains City Council, New South Wales, 2778, Australia",way,857165499,building,house,8.246051728079679e-05
192 PRINCES DR,"192 PRINCES DR, Australia",-38.2330101,146.4440733,"192-208, Princes Drive, Morwell, City of Latrobe, Victoria, 3840, Australia",node,12415696834,place,house,4.8924238956237394e-05
UNIT 6/3 STOUT ROAD,"UNIT 6/3 STOUT ROAD, Australia",,,,,,,,
9B BLENHEIM STREET,"9B BLENHEIM STREET, Australia",-33.9162061,151.2380950,"Blenheim Street, Randwick, Eastern Suburbs, Sydney, Randwick City Council, New South Wales, 2031, Australia",way,172961189,highway,residential,0.05341579385061414
2 - 72 HALLAM SOUTH RD,"2 - 72 HALLAM SOUTH RD, Australia",-38.0070912,145.2732219,"Hallam South Road, Hallam, Melbourne, City of Casey, Victoria, 3803, Australia",way,780477239,highway,primary,0.053413785763332534
3 PIKE ST,"3 PIKE ST, Australia",-37.6243048,145.0117019,"3, Pike Street, Aurora Estate, Epping, Melbourne, City of Whittlesea, Victoria, 3076, Australia",node,12411646328,place,house,8.045242999919154e-05
141 REGENCY ROAD,"141 REGENCY ROAD, Australia",-37.6144537,144.9241359,"Regency Road, Roxburgh Park, Melbourne, City of Hume, Victoria, 3064, Australia",way,59375354,highway,residential,0.053413785763332534
23 ELIZABETH WAY,"23 ELIZABETH WAY, Australia",-34.3480499,150.4688146,"23, Elizabeth Way, Hill Top, Wingecarribee Shire Council, New South Wales, 2575, Australia",node,6702250037,place,house,4.9436942091966395e-05
17/19 MAIN N RD,"17/19 MAIN N RD, Australia",-34.8783286,138.6022432,"Main North Road, Prospect, Adelaide, City of Prospect, South Australia, 5082, Australia",way,576857731,highway,trunk,0.33045469695876417
2/675 GYMPIE RD,"2/675 GYMPIE RD, Australia",-27.4033549,153.0317532,"Gympie Road, Glen Kedron, Kedron, Greater Brisbane, Queensland, 4031, Australia",way,1119832843,highway,trunk,0.053410274662394105
UNIT 1-13 SMITH ST,"UNIT 1-13 SMITH ST, Australia",,,,,,,,
93 LONSDALE ST,"93 LONSDALE ST, Australia",-37.9962500,145.2178785,"77-93, Lonsdale Street, Dandenong, Melbourne, City of Greater Dandenong, Victoria, 3175, Australia",node,12419820181,place,house,8.045242999919154e-05
